"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US05131","Sebastian County, Arkansas","125920","*****","105215","909","8431","778","907","806","5180","338","0","273","1175","746","5012","1430","216","216","4796","1420"
"0500000US05143","Washington County, Arkansas","204123","*****","161290","3320","7593","735","2007","777","4932","455","4331","132","19760","3451","4210","967","724","427","3486","855"
"0500000US05145","White County, Arkansas","77350","*****","70581","786","3669","816","258","267","241","357","0","273","1398","916","1203","600","29","55","1174","594"
"0500000US06001","Alameda County, California","1513952","*****","692377","11295","186016","4034","7819","2565","400567","5147","12058","1295","130679","10622","84436","8336","15648","3503","68788","7337"
"0500000US06007","Butte County, California","220072","*****","184882","2474","3087","916","3162","1192","9448","747","374","178","6554","1821","12565","2063","2047","947","10518","1745"
"0500000US06013","Contra Costa County, California","1052827","*****","675793","9663","97476","3211","4018","1523","154703","3147","5017","586","64868","9180","50952","5481","8132","2524","42820","4896"
"0500000US06017","El Dorado County, California","181194","*****","161909","1436","1373","406","2028","792","6096","1149","181","230","3693","1239","5914","1571","686","523","5228","1500"
"0500000US06019","Fresno County, California","933248","*****","552315","12378","47593","1435","8596","2955","88341","2110","1166","538","195332","12499","39905","5466","14550","3152","25355","4204"
"0500000US06023","Humboldt County, California","134794","*****","111423","1516","1531","432","8726","922","2662","571","719","782","4670","1512","5063","1320","1235","740","3828","1127"
"0500000US06025","Imperial County, California","175234","*****","97711","5757","5809","795","4025","1896","2831","215","40","66","58804","5827","6014","2112","3927","2028","2087","970"
"0500000US06029","Kern County, California","842207","*****","604198","13173","47411","1746","10337","2429","32736","2110","610","286","113634","13112","33281","4680","8754","2387","24527","3702"
"0500000US06031","Kings County, California","153174","*****","116707","3344","11632","1012","1944","501","6460","626","62","76","10676","2519","5693","2076","2823","1803","2870","1151"
"0500000US06033","Lake County, California","64771","*****","53179","1897","1494","78","852","800","510","312","0","294","5946","1924","2790","911","84","139","2706","900"
"0500000US06037","Los Angeles County, California","9830420","*****","5186303","43109","833712","7940","42060","4561","1356425","7639","23605","2003","2023450","41275","364865","16374","107974","8663","256891","12666"
"0500000US06039","Madera County, California","151408","*****","127117","2869","5884","742","2083","1177","3674","862","167","280","6668","1934","5815","2541","1934","1436","3881","2118"
"0500000US06041","Marin County, California","252916","*****","200463","3564","7349","1033","821","720","13928","1409","586","134","19868","3511","9901","2078","1601","826","8300","1706"
"0500000US06045","Mendocino County, California","87828","*****","71283","2351","1178","514","4964","1871","1704","165","353","356","6379","2205","1967","925","94","164","1873","909"
"0500000US06047","Merced County, California","256778","*****","190740","4013","10030","878","1626","556","20406","673","77","102","28411","3710","5488","1675","2096","1043","3392","1325"
"0500000US06053","Monterey County, California","416682","*****","323160","7870","11888","1111","7001","3080","25324","1722","2342","161","31212","5898","15755","3288","3627","1311","12128","2749"
